연번,전통시장명,상호명,운영시간,업종구분,도로명 주소,지번 주소,전화번호,위도,경도,데이터기준
68,주문진좌판풍물시장,말똥이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912430458072,128.829137859467,2021-12-10
69,주문진좌판풍물시장,주혁이네,08:00-18:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912360923616,128.829137687374,2021-12-10
70,주문진좌판풍물시장,솔지네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912290510123,128.829137282117,2021-12-10
71,주문진좌판풍물시장,대영수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912221881622,128.829137170014,2021-12-10
72,주문진좌판풍물시장,할매튀김,08:00-19:30,식당/음식,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912703786584,128.829169488344,2021-12-10
73,주문진좌판풍물시장,태양아줌마,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912634270075,128.829169200798,2021-12-10
74,주문진좌판풍물시장,현기네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891256380274896,128.829169141887,2021-12-10
75,주문진좌판풍물시장,진성수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912494268295,128.829168969791,2021-12-10
76,주문진좌판풍물시장,기관장네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891242473384,128.829168797695,2021-12-10
77,주문진좌판풍물시장,봉순네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912355199386,128.829168625599,2021-12-10
78,주문진좌판풍물시장,지원수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891228478589504,128.82916822034,2021-12-10
79,주문진좌판풍물시장,하얀이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891221615739504,128.829168108233,2021-12-10
80,주문진좌판풍물시장,회뜨는 장소,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912551852412,128.829218052906,2021-12-10
81,주문진좌판풍물시장,회뜨는 장소,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912551852412,128.829218052906,2021-12-10
82,주문진좌판풍물시장,회뜨는 장소,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912551852412,128.829218052906,2021-12-10
83,주문진좌판풍물시장,뚱보젓갈,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891248231796,128.829217880806,2021-12-10
84,주문진좌판풍물시장,민수네116,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912412783508,128.829217708705,2021-12-10
85,주문진좌판풍물시장,팔팔건어물,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891234324905504,128.829217536605,2021-12-10
86,주문진좌판풍물시장,장군네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912272835567,128.829217131341,2021-12-10
87,주문진좌판풍물시장,칠성이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891220420706894,128.82921701923,2021-12-10
88,주문진좌판풍물시장,원창호,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891215707372304,128.829081143897,2021-12-10
89,주문진좌판풍물시장,미경이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891215188073,128.829137054513,2021-12-10
90,주문진좌판풍물시장,은방이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.89121461654769,128.829167935005,2021-12-10
91,주문진좌판풍물시장,영남이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891213627822495,128.82921682223,2021-12-10
92,주문진좌판풍물시장,진주네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910547677692,128.829132720579,2021-12-10
93,주문진좌판풍물시장,꼭지엄마,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891061447634094,128.829132828153,2021-12-10
94,주문진좌판풍물시장,성훈네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891068218094496,128.829132995716,2021-12-10
95,주문진좌판풍물시장,춘도네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910749876576,128.829133221003,2021-12-10
96,주문진좌판풍물시장,영숙이네,09:00-20:00,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891081758117906,128.829133388566,2021-12-10
97,주문진좌판풍물시장,준범이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910883917879,128.82913352387,2021-12-10
98,주문진좌판풍물시장,해란네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.89109509407729,128.829133660872,2021-12-10
99,주문진좌판풍물시장,애경이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911019331571,128.829133830134,2021-12-10
100,주문진좌판풍물시장,다슬이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911086345493,128.829134024861,2021-12-10
101,주문진좌판풍물시장,강수수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891115314414094,128.829134132435,2021-12-10
102,주문진좌판풍물시장,현아네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911219462895,128.829134383189,2021-12-10
103,주문진좌판풍물시장,민수네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910542201448,128.829164062305,2021-12-10
104,주문진좌판풍물시장,대운호,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910609000097,128.829164169881,2021-12-10
105,주문진좌판풍물시장,근호수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910676704699,128.829164337447,2021-12-10
106,주문진좌판풍물시장,코스모스,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891074440032895,128.829164562737,2021-12-10
107,주문진좌판풍물시장,대박수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891081210493105,128.829164730303,2021-12-10
108,주문진좌판풍물시장,뚱수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910878441629,128.82916486561,2021-12-10
109,주문진좌판풍물시장,태일이네,09:00-20:00,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910945464522,128.829165002615,2021-12-10
110,주문진좌판풍물시장,동현이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891101385531904,128.829165171879,2021-12-10
111,주문진좌판풍물시장,정혁수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891108086924,128.829165366609,2021-12-10
112,주문진좌판풍물시장,딸부잣집,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891114766788704,128.829165474186,2021-12-10
