기준연월,업종대분류명,소비액(천원)
202312,전체,9.8165945E7
202301,전체,1.00757404E8
202302,전체,9.7582036E7
202303,전체,8.9771312E7
202304,전체,1.04423901E8
202305,전체,1.18153299E8
202306,전체,1.16836449E8
202307,전체,1.30557314E8
202308,전체,1.52451536E8
202309,전체,1.10186685E8
202310,전체,1.23844798E8
202311,전체,9.0569787E7
202310,운송업,230830.0
202308,운송업,143250.0
202310,여행업,245176.0
202310,숙박업,1.5986909E7
202309,여행업,183863.0
202309,식음료업,6.1913926E7
202309,여가서비스업,2.0475225E7
202309,쇼핑업,1.2869361E7
202309,운송업,113605.0
202309,숙박업,1.4630705E7
202308,여행업,362676.0
202308,식음료업,8.7317996E7
202308,여가서비스업,2.285759E7
202308,쇼핑업,1.3056859E7
202308,숙박업,2.8713164E7
202310,쇼핑업,1.4701364E7
202310,여가서비스업,2.4437841E7
202310,식음료업,6.8242677E7
202311,숙박업,1.072671E7
202311,여행업,114087.0
202311,운송업,99757.0
202311,쇼핑업,1.3742129E7
202311,여가서비스업,1.6303094E7
202311,식음료업,4.958401E7
202312,숙박업,1.8235066E7
202312,운송업,61123.0
202312,쇼핑업,1.4522071E7
202312,여가서비스업,8493822.0
202312,식음료업,5.6722167E7
202312,여행업,131695.0
202302,식음료업,5.6329509E7
202304,쇼핑업,1.3757898E7
202304,운송업,105487.0
202304,숙박업,1.1662427E7
202303,여행업,200069.0
202303,식음료업,5.0554545E7
202303,여가서비스업,1.5807408E7
202303,쇼핑업,1.3595242E7
202303,운송업,59100.0
202303,숙박업,9554949.0
202302,여행업,290512.0
202304,여가서비스업,2.0297641E7
202302,여가서비스업,9700721.0
202302,쇼핑업,1.265456E7
202302,운송업,46843.0
202302,숙박업,1.8559891E7
202301,여행업,253190.0
202301,식음료업,5.6357544E7
202301,여가서비스업,7533446.0
202301,쇼핑업,1.4314328E7
202301,운송업,36007.0
202306,운송업,134230.0
202307,여행업,354353.0
202307,식음료업,7.3056818E7
202307,여가서비스업,2.096889E7
202307,쇼핑업,1.4012859E7
202307,운송업,91500.0
202307,숙박업,2.2072894E7
202306,여행업,205024.0
202306,식음료업,6.4348547E7
202306,여가서비스업,2.3727974E7
202306,쇼핑업,1.3111241E7
202301,숙박업,2.2262889E7
202306,숙박업,1.5309433E7
202305,여행업,159231.0
202305,식음료업,6.4644925E7
202305,여가서비스업,2.3690855E7
202305,쇼핑업,1.4914005E7
202305,운송업,109760.0
202305,숙박업,1.4634523E7
202304,여행업,174354.0
202304,식음료업,5.8426095E7
