기준연월,지역명,검색량(건)
202301,강원특별자치도,379291
202302,강원특별자치도,359101
202303,강원특별자치도,356906
202304,강원특별자치도,356107
202305,강원특별자치도,435398
202306,강원특별자치도,483958
202307,강원특별자치도,515506
202308,강원특별자치도,607818
202309,강원특별자치도,467416
202310,강원특별자치도,485879
202311,강원특별자치도,414250
202312,강원특별자치도,434964
