기준연월,목적지 유형,목적지 검색량
202303,전체,2030914
202304,전체,2378343
202306,전체,2966455
202307,전체,3302240
202309,전체,3040826
202305,전체,2780466
202308,전체,4339762
202301,전체,2339368
202302,전체,2497732
202310,전체,3436884
202311,전체,2140045
202312,전체,2484037
202303,숙박,366539
202303,음식,726902
202303,기타관광,184662
202303,쇼핑,120316
202303,문화관광,172810
202303,역사관광,63159
202303,자연관광,220427
202303,체험관광,11483
202303,레저스포츠,164616
202304,숙박,488509
202304,음식,848710
202304,기타관광,209225
202304,쇼핑,139984
202304,문화관광,216899
202304,역사관광,82782
202304,자연관광,178283
202304,체험관광,14728
202304,레저스포츠,199223
202306,기타관광,228726
202306,쇼핑,160295
202306,숙박,663550
202306,음식,1029646
202306,문화관광,270765
202306,역사관광,91573
202306,자연관광,254467
202306,체험관광,19296
202306,레저스포츠,248137
202307,기타관광,212920
202307,쇼핑,178487
202307,숙박,811330
202307,음식,1162647
202307,문화관광,300203
202307,역사관광,83660
202307,자연관광,300865
202307,체험관광,16411
202307,레저스포츠,235717
202309,숙박,635643
202309,음식,969190
202309,기타관광,275501
202309,쇼핑,161183
202309,자연관광,343896
202309,문화관광,304920
202309,역사관광,94589
202309,체험관광,19308
202309,레저스포츠,236596
202305,숙박,591743
202305,음식,980772
202305,기타관광,226601
202305,쇼핑,159058
202305,문화관광,270424
202305,역사관광,97649
202305,자연관광,207329
202305,체험관광,17945
202305,레저스포츠,228945
202308,숙박,1039524
202308,음식,1506364
202308,기타관광,279260
202308,쇼핑,237351
202308,문화관광,409666
202308,역사관광,109058
202308,자연관광,465717
202308,체험관광,21785
202308,레저스포츠,271037
202301,숙박,559688
202301,음식,792458
202301,기타관광,210095
202301,쇼핑,136294
202301,문화관광,209791
202301,역사관광,61143
202301,자연관광,229279
202301,체험관광,13517
202301,레저스포츠,127103
202302,숙박,579058
202302,음식,866922
202302,기타관광,205737
202302,쇼핑,151391
202302,문화관광,223070
202302,역사관광,67286
202302,자연관광,239546
202302,체험관광,13316
202302,레저스포츠,151406
202310,기타관광,354874
202310,쇼핑,175806
202310,숙박,642621
202310,음식,1054172
202310,문화관광,366690
202310,역사관광,162293
202310,자연관광,386924
202310,체험관광,26583
202310,레저스포츠,266921
202311,기타관광,196934
202311,쇼핑,123812
202311,숙박,436968
202311,음식,722926
202311,문화관광,195946
202311,역사관광,79163
202311,자연관광,199014
202311,체험관광,13428
202311,레저스포츠,171854
202312,기타관광,200656
202312,쇼핑,149620
202312,숙박,612095
202312,음식,873521
202312,문화관광,230390
202312,역사관광,56014
202312,자연관광,217036
202312,체험관광,16478
202312,레저스포츠,128227
