순위,분류,관련 키워드,언급건수
213,휴식/힐링,크루즈여행,183
214,체험,카약체험,178
215,체험,곤충체험,175
216,체험,도자기체험,173
217,체험,전통놀이체험,172
218,체험,농장체험,167
219,레포츠,padi,163
219,미식,삼겹살파티,163
221,미식,맥주파티,162
221,체험,바다체험,162
223,체험,카트체험,161
224,기타,중국여행,160
225,기타,미국여행,159
225,레포츠,배스낚시,159
227,휴식/힐링,키캉스,156
228,레포츠,패러세일링,155
229,레포츠,모토캠핑,153
230,체험,명상체험,152
231,체험,야경투어,150
232,기타,소싸움,149
233,체험,커피체험,148
234,체험,천연염색체험,147
235,체험,감귤체험,142
236,체험,미술체험,141
237,기타,야외취침,140
237,레포츠,수상자전거,140
239,기타,해돋이여행,134
240,휴식/힐링,책맥,126
240,기타,오지여행,126
240,체험,투명카누체험,126
243,미식,먹부림여행,124
244,체험,물레체험,122
245,레포츠,플라이낚시,120
246,체험,사격체험,118
247,체험,원예체험,113
248,레포츠,원스키,112
248,기타,도시여행,112
250,체험,우주체험,109
250,레포츠,캠핑라이프,109
250,체험,도예체험,109
253,체험,치즈체험,108
253,기타,무전여행,108
255,체험,탁본체험,106
255,기타,자전거투어,106
255,체험,염색체험,106
258,미식,먹거리여행,102
259,미식,먹거리투어,100
260,휴식/힐링,일몰뷰,97
260,체험,알파카체험,97
260,체험,향수만들기,97
263,기타,청춘여행,95
263,레포츠,스노우보딩,95
263,체험,수상레저체험,95
266,체험,해양체험,92
267,체험,양먹이주기체험,91
267,휴식/힐링,홈캉스,91
269,체험,선상낚시체험,90
270,체험,산림문화체험,88
271,레포츠,행글라이딩,86
271,체험,바다낚시체험,86
273,레포츠,웨이크서핑,81
274,체험,민속놀이체험,80
275,레포츠,행글라이더,77
275,휴식/힐링,드라이브여행,77
277,레포츠,발야구,76
278,휴식/힐링,홈캠핑,75
279,체험,보트체험,74
280,체험,산사체험,72
281,기타,데이트스냅,70
281,휴식/힐링,스테이케이션,70
283,체험,동물먹이체험,66
283,체험,야간시티투어,66
285,레포츠,암벽등산,65
286,레포츠,알빙,62
287,기타,워킹투어,61
287,체험,해양레저체험,61
289,체험,양떼목장체험,60
289,레포츠,아쿠아로빅,60
291,체험,타종체험,59
292,체험,유리공예체험,58
292,체험,맨발체험,58
294,미식,와이너리투어,56
295,휴식/힐링,혼놀,55
296,체험,씨티투어,52
297,체험,활쏘기체험,51
298,체험,다례체험,49
298,휴식/힐링,북캉스,49
300,휴식/힐링,숙소콕,48
300,휴식/힐링,구름멍,48
302,레포츠,스킨스쿠버다이빙,47
303,레포츠,클레이사격,45
304,체험,우유주기체험,44
305,체험,블루베리체험,43
305,체험,전통혼례체험,43
307,체험,악기체험,41
307,휴식/힐링,집콕생활,41
309,체험,딸기수확체험,40
310,레포츠,인공암벽등반,39
311,체험,가죽공예체험,37
312,체험,국궁체험,35
313,레포츠,rving,34
314,체험,스노클링체험,33
314,체험,박물관체험,33
314,체험,텃밭체험,33
317,체험,농가체험,32
317,체험,목판체험,32
319,체험,서바이벌체험,30
319,체험,조향체험,30
321,체험,액티비티체험,29
321,체험,물놀이체험,29
321,체험,스노쿨링체험,29
321,레포츠,롤러스케이팅,29
325,미식,빵집순례,28
325,레포츠,심해잠수,28
327,미식,와인투어,26
328,체험,담력체험,25
328,기타,일본관광,25
328,휴식/힐링,호텔스테이,25
328,체험,패러글라이딩체험,25
328,체험,한방족욕체험,25
333,휴식/힐링,석양뷰,24
334,레포츠,골캉스,23
334,체험,닥터피쉬체험,23
336,체험,전통공예체험,22
337,레포츠,실내스키,21
337,레포츠,워터슬레이,21
339,체험,투명카약체험,20
340,미식,미식체험,19
340,휴식/힐링,집캉스,19
