순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,
1,강원특별자치도,정선군,강원랜드 카지노,202201,121352.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202202,113616.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202203,119344.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202204,131674.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202205,162098.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202206,195206.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202207,220549.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202208,236695.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202209,197572.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202210,203320.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202211,173878.0,2066548.0
1,강원특별자치도,정선군,강원랜드 카지노,202212,191244.0,2066548.0
2,강원특별자치도,춘천시,남이섬유원지,202201,40130.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202202,46950.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202203,38233.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202204,165853.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202205,95012.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202206,91755.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202207,66091.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202208,67847.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202209,73059.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202210,149297.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202211,442565.0,1355695.0
2,강원특별자치도,춘천시,남이섬유원지,202212,78903.0,1355695.0
3,강원특별자치도,양양군,낙산사,202201,110603.0,1193348.0
3,강원특별자치도,양양군,낙산사,202202,95356.0,1193348.0
3,강원특별자치도,양양군,낙산사,202203,47530.0,1193348.0
3,강원특별자치도,양양군,낙산사,202204,82879.0,1193348.0
