기준연월,지역명,검색량(건)
202201,강원특별자치도,267577
202202,강원특별자치도,236074
202203,강원특별자치도,233504
202204,강원특별자치도,252280
202205,강원특별자치도,359779
202206,강원특별자치도,415213
202207,강원특별자치도,467326
202208,강원특별자치도,540562
202209,강원특별자치도,406037
202210,강원특별자치도,404573
202211,강원특별자치도,338315
202212,강원특별자치도,344574
