기준연월,동반유형명,언급건수
202208,기타가족,24191
202207,기타가족,19243
202209,기타가족,17673
202210,기타가족,15660
202206,기타가족,15524
202212,기타가족,14327
202205,기타가족,13306
202206,부모님,12737
202211,기타가족,12631
202208,친구,12460
202207,부모님,12087
202201,기타가족,12077
202204,기타가족,11982
202207,친구,11529
202203,기타가족,11028
202208,부모님,10963
202202,기타가족,10851
202206,친구,9858
202205,부모님,9832
202209,친구,8902
202210,친구,8358
202205,친구,8003
202209,부모님,7850
202212,친구,7649
202210,부모님,7213
202211,친구,6773
202201,친구,6645
202212,부모님,6512
202206,싱글,6377
202208,자녀,6198
202202,친구,6022
202211,부모님,5951
202207,자녀,5727
202204,친구,5696
202208,회사동료,5576
202203,친구,5484
202207,싱글,5347
202204,부모님,5287
202201,부모님,5241
202202,부모님,5081
202205,싱글,5039
202208,싱글,5015
202207,회사동료,4986
202203,부모님,4813
202210,자녀,4450
202208,연인,4429
202209,자녀,4274
202203,회사동료,4269
202206,자녀,4238
202209,회사동료,4221
202208,배우자,4191
202210,회사동료,4095
202204,자녀,4056
202212,회사동료,4033
202205,자녀,3975
202212,자녀,3888
202206,회사동료,3783
202211,자녀,3713
202207,배우자,3470
202209,연인,3443
202209,싱글,3412
202207,연인,3336
202202,자녀,3277
202210,싱글,3272
202201,자녀,3269
202211,회사동료,3226
202204,배우자,3219
202203,자녀,3192
202212,싱글,3154
202205,회사동료,3115
202210,배우자,3115
202212,연인,3081
202206,연인,3008
202206,배우자,2932
202209,배우자,2891
202211,싱글,2804
202212,배우자,2761
202210,연인,2741
202201,연인,2722
202205,배우자,2716
202211,배우자,2681
202201,싱글,2599
202202,연인,2595
202205,연인,2518
202202,싱글,2498
202201,회사동료,2475
202203,연인,2461
202204,연인,2440
202203,싱글,2391
202202,회사동료,2361
202211,연인,2324
202203,배우자,2267
202204,싱글,2181
202204,회사동료,2094
202201,배우자,2050
202202,배우자,1977
202208,학생,1870
202207,학생,1577
202206,학생,1143
202209,학생,1139
202210,학생,1089
202205,학생,1068
202201,학생,974
202212,학생,942
202202,학생,881
202211,학생,849
202203,학생,845
202204,학생,810
