순위,분류,관련 키워드,언급건수
213,레포츠,스킨다이빙,18
213,레포츠,버기카,18
220,레포츠,스카이다이빙,17
220,체험,딸기체험,17
220,기타,자전거투어,17
220,체험,전통놀이체험,17
220,휴식/힐링,키캉스,17
220,체험,곤충체험,17
226,미식,먹거리여행,16
227,레포츠,배스낚시,15
228,체험,닥터피쉬체험,14
228,체험,미술체험,14
228,체험,액티비티체험,14
231,휴식/힐링,숙소콕,13
231,레포츠,스노우보딩,13
231,레포츠,알빙,13
234,기타,동남아여행,12
234,기타,일출투어,12
234,레포츠,견지낚시,12
234,레포츠,모토캠핑,12
234,체험,농장체험,12
234,체험,카약체험,12
234,레포츠,애슬레저,12
234,체험,배낚시체험,12
234,휴식/힐링,시골여행,12
234,체험,원예체험,12
244,체험,선상낚시체험,11
244,체험,우유주기체험,11
244,체험,카트체험,11
244,기타,중국여행,11
244,레포츠,행글라이딩,11
244,체험,고택체험,11
244,체험,농사체험,11
251,기타,도시여행,10
251,체험,도예체험,10
251,체험,목공예체험,10
251,체험,해양체험,10
251,체험,향수만들기,10
251,체험,동물먹이체험,10
257,기타,소싸움,9
257,레포츠,빙벽등반,9
257,체험,놀이체험,9
257,기타,오지여행,9
257,레포츠,bmx,9
257,휴식/힐링,북캉스,9
263,기타,야외취침,8
263,레포츠,서바이벌게임,8
263,레포츠,스킨스쿠버다이빙,8
263,체험,타종체험,8
263,휴식/힐링,옥캉스,8
263,휴식/힐링,집캉스,8
263,레포츠,캠핑라이프,8
263,체험,물레체험,8
271,레포츠,행글라이더,7
271,체험,감귤체험,7
271,레포츠,수상자전거,7
271,체험,도자기체험,7
271,휴식/힐링,석양뷰,7
271,레포츠,심해잠수,7
271,체험,투명카누체험,7
278,레포츠,원스키,6
278,레포츠,클레이사격,6
278,체험,치즈체험,6
278,체험,텃밭체험,6
278,레포츠,산악오토바이,6
278,휴식/힐링,구름멍,6
278,체험,바다낚시체험,6
278,체험,염색체험,6
278,체험,국궁체험,6
287,레포츠,숏스키,5
287,레포츠,씨워킹,5
287,체험,알파카체험,5
287,체험,해녀체험,5
287,휴식/힐링,모캉스,5
287,체험,스쿠버다이빙체험,5
287,미식,와이너리투어,5
287,레포츠,플라이낚시,5
287,기타,순례여행,5
296,레포츠,naui,4
296,체험,귤체험,4
296,체험,달고나체험,4
296,체험,담력체험,4
296,레포츠,발야구,4
296,휴식/힐링,혼놀,4
296,레포츠,줄낚시,4
296,체험,한옥숙박체험,4
296,체험,박물관체험,4
296,체험,명상체험,4
296,체험,지게체험,4
296,휴식/힐링,호텔스테이,4
296,미식,빵집순례,4
309,체험,산림문화체험,3
309,체험,씨티투어,3
309,체험,유리공예체험,3
309,레포츠,롤러스케이팅,3
309,체험,마차체험,3
309,체험,말타기체험,3
309,기타,일몰투어,3
309,체험,학생승마체험,3
309,레포츠,웨이크서핑,3
309,체험,천연염색체험,3
309,레포츠,아쿠아로빅,3
320,레포츠,워터슬레이,2
320,체험,어린이승마체험,2
320,체험,해병대캠프,2
320,휴식/힐링,밀월여행,2
320,휴식/힐링,카페케이션,2
320,휴식/힐링,홈콕,2
320,체험,맨발체험,2
320,기타,일본관광,2
320,체험,스쿠버체험,2
320,체험,한방족욕체험,2
320,휴식/힐링,홈캠핑,2
320,체험,레일바이크체험,2
320,체험,민속놀이체험,2
320,체험,블루베리체험,2
320,체험,전통혼례체험,2
320,기타,덕질여행,2
320,체험,가죽공예체험,2
320,레포츠,cmas,2
320,레포츠,블롭점프,2
320,체험,다이빙체험,2
320,체험,조향체험,2
320,체험,물놀이체험,2
320,체험,다례체험,2
320,체험,악기체험,2
320,체험,우주체험,2
320,체험,향수체험,2
346,레포츠,암벽산행,1
346,체험,조종체험,1
346,레포츠,줄없는번지,1
346,체험,호텔체험,1
346,체험,클라이밍체험,1
346,레포츠,bsac,1
346,체험,조개체험,1
346,체험,활쏘기체험,1
346,휴식/힐링,옥터파크,1
346,기타,워킹투어,1
346,체험,산사체험,1
346,체험,스노쿨링체험,1
346,휴식/힐링,허니문투어,1
346,레포츠,인공암벽등반,1
346,체험,전기자전거체험,1
346,휴식/힐링,한캉스,1
346,휴식/힐링,홈크닉,1
346,레포츠,암벽등산,1
346,체험,바지락체험,1
346,체험,바티칸투어,1
346,체험,전통공예체험,1
346,체험,전통의상체험,1
346,체험,패러글라이딩체험,1
346,체험,프리다이빙체험,1
346,체험,해양레저체험,1
346,체험,교복체험,1
346,체험,농가체험,1
346,체험,사격체험,1
346,레포츠,rving,1
346,체험,랜선체험,1
346,레포츠,골캉스,1
346,미식,미식체험,1
