순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,
1,강원특별자치도,강릉시,오죽헌.시립박물관,202201,53352.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202202,48114.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202203,24248.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202204,47971.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202205,65916.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202206,61494.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202207,58181.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202208,71022.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202209,48501.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202210,73812.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202211,51263.0,642737.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202212,38863.0,642737.0
2,강원특별자치도,강릉시,하슬라아트월드,202201,35269.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202202,31680.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202203,13819.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202204,22033.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202205,30378.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202206,28879.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202207,36720.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202208,53200.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202209,27700.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202210,35962.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202211,26321.0,369472.0
2,강원특별자치도,강릉시,하슬라아트월드,202212,27511.0,369472.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202201,17052.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202202,16118.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202203,9434.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202204,20080.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202205,26970.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202206,24230.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202207,24610.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202208,28232.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202209,21594.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202210,24418.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202211,17700.0,236884.0
3,강원특별자치도,강릉시,강릉정동진레일바이크,202212,6446.0,236884.0
4,강원특별자치도,강릉시,정동진역,202201,25678.0,235636.0
4,강원특별자치도,강릉시,정동진역,202202,20717.0,235636.0
4,강원특별자치도,강릉시,정동진역,202203,8741.0,235636.0
4,강원특별자치도,강릉시,정동진역,202204,16647.0,235636.0
4,강원특별자치도,강릉시,정동진역,202205,23973.0,235636.0
4,강원특별자치도,강릉시,정동진역,202206,24702.0,235636.0
4,강원특별자치도,강릉시,정동진역,202207,19800.0,235636.0
4,강원특별자치도,강릉시,정동진역,202208,24650.0,235636.0
4,강원특별자치도,강릉시,정동진역,202209,15400.0,235636.0
4,강원특별자치도,강릉시,정동진역,202210,20899.0,235636.0
4,강원특별자치도,강릉시,정동진역,202211,15305.0,235636.0
4,강원특별자치도,강릉시,정동진역,202212,19124.0,235636.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202201,14764.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202202,14493.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202203,6352.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202204,13130.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202205,19481.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202206,18447.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202207,19109.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202208,25403.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202209,16490.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202210,22707.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202211,13708.0,196995.0
5,강원특별자치도,강릉시,썬크루즈조각공원,202212,12911.0,196995.0
6,강원특별자치도,강릉시,대관령자연휴양림,202201,9553.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202202,8628.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202203,5577.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202204,8977.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202205,15591.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202206,15441.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202207,17780.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202208,20109.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202209,12908.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202210,15390.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202211,8377.0,144877.0
6,강원특별자치도,강릉시,대관령자연휴양림,202212,6546.0,144877.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202201,0.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202202,0.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202203,0.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202204,0.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202205,0.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202206,0.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202207,8084.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202208,15957.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202209,17856.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202210,34569.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202211,23668.0,110754.0
7,강원특별자치도,강릉시,정동심곡바다부채길,202212,10620.0,110754.0
8,강원특별자치도,강릉시,메이플비치골프장,202201,4958.0,101954.0
8,강원특별자치도,강릉시,메이플비치골프장,202202,4100.0,101954.0
8,강원특별자치도,강릉시,메이플비치골프장,202203,7315.0,101954.0
8,강원특별자치도,강릉시,메이플비치골프장,202204,8700.0,101954.0
8,강원특별자치도,강릉시,메이플비치골프장,202205,11000.0,101954.0
8,강원특별자치도,강릉시,메이플비치골프장,202206,10000.0,101954.0
8,강원특별자치도,강릉시,메이플비치골프장,202207,11054.0,101954.0
8,강원특별자치도,강릉시,메이플비치골프장,202208,10690.0,101954.0
8,강원특별자치도,강릉시,메이플비치골프장,202209,10215.0,101954.0
8,강원특별자치도,강릉시,메이플비치골프장,202210,8532.0,101954.0
