순위,업소명,주소,분류
72,농촌순두부,강원 강릉시 초당순두부길 108-0,한식
73,버거킹강릉교동SK점,강원 강릉시 하슬라로 159-0,간이음식
74,염전횟집,강원 강릉시 염전길 147-0,전문음식
75,독도네본점,강원 강릉시 옥천로 47-0,전문음식
76,강릉짬뽕순두부강릉본점,강원 강릉시 초당순두부길 116-0,한식
77,강릉해파랑,강원 강릉시 창해로350번길 17-0,전문음식
78,오월에초당,강원 강릉시 난설헌로 234-5,한식
79,오드커피,강원 강릉시 해안로 1597-0,카페/찻집
80,카페소돌엔,강원 강릉시 새쪽1길 8-7,카페/찻집
81,오션스,강원 강릉시 해안로 355-0,간이음식
82,카페뤼미에르,강원 강릉시 창해로14번길 18-0,카페/찻집
83,강문떡갈비,강원 강릉시 창해로 360-1,한식
84,강릉전복해물뚝배기본점,강원 강릉시 창해로 361-2,전문음식
85,스타벅스강릉교동광장점,강원 강릉시 교동광장로 114-0,카페/찻집
86,남경막국수본점,강원 강릉시 등대길 32-0,한식
87,오핑하우스,강원 강릉시 해안로 1459-0,카페/찻집
88,카페오두막,강원 강릉시 해안로 644-0,카페/찻집
89,24프레임,강원 강릉시 난설헌로 73-0,카페/찻집
90,이만구교동짬뽕[중식],강원 강릉시 강릉대로 199-8,외국식
91,정화식당,강원 강릉시 토성로 193-0,한식
92,대동면옥,강원 강릉시 연주로 438-0,한식
93,강릉당커피콩빵중앙시장점,강원 강릉시 중앙시장1길 17-0,간이음식
94,최대게본점,강원 강릉시 해안로 1729-0,전문음식
95,카페바우,강원 강릉시 해안로 1437-0,카페/찻집
96,뚱할머니순두부,강원 강릉시 난설헌로 142-0,전문음식
97,복사꽃싸롱,강원 강릉시 학교담길 25-0,카페/찻집
98,배니닭강정,강원 강릉시 금성로13번길 5-0,간이음식
99,안목바다식당,강원 강릉시 성덕로 148-0,한식
100,바로방,강원 강릉시 경강로 2092-0,간이음식
