기준연월,여행유형/트렌드명,언급건수
202208,레포츠,8481
202208,휴식/힐링,8028
202207,휴식/힐링,7055
202207,레포츠,7018
202206,레포츠,6553
202206,휴식/힐링,6513
202209,휴식/힐링,6501
202210,휴식/힐링,6196
202205,휴식/힐링,5789
202209,레포츠,5606
202210,레포츠,5410
202205,레포츠,5408
202212,휴식/힐링,5313
202211,휴식/힐링,4884
202201,휴식/힐링,4824
202204,휴식/힐링,4213
202212,레포츠,4078
202202,휴식/힐링,4027
202203,휴식/힐링,4020
202211,레포츠,3871
202201,레포츠,3516
202202,레포츠,3266
202203,레포츠,3024
202204,레포츠,2931
202206,기타,2053
202208,기타,1995
202207,기타,1773
202205,기타,1507
202212,기타,1407
202209,기타,1380
202210,기타,1318
202201,기타,1257
202208,미식,1201
202202,기타,1163
202211,기타,1077
202203,기타,1039
202207,미식,940
202204,기타,938
202209,미식,914
202206,미식,840
202206,체험,794
202210,미식,777
202208,체험,774
202205,체험,771
202212,미식,765
202201,미식,732
202205,미식,711
202211,미식,690
202209,체험,652
202202,미식,617
202207,체험,601
202210,체험,592
202203,미식,549
202204,미식,512
202212,체험,454
202211,체험,444
202204,체험,312
202202,체험,312
202201,체험,305
202203,체험,290
