번호,통화일시,신고내역(위치),동물종
64,2021-03-16 17:01,도로가에 고양이 사체 - 입암동 현대 아파트쪽  농협 사거리 고양이 사체 ,고양이
65,2021-03-19 08:17,[로드킬]구정 남강릉 ic 가는쪽 사체,고라니
66,2021-03-19 15:52,[로드킬]이안아파트와 불향쭈꾸미앞 큰 도로 - 동물사체,불명
67,2021-03-22 12:31,"경포대신도브래뉴로얄카운티, 해안로 방향으로 고라니 사체있음",고라니
68,2021-03-22 12:56,[로드킬]원주대삼거리~ 7반국도 치대사거리.안마의자 삼거리 근방  고양이 사체,고양이
69,2021-03-23 16:51,다친 매 도움요청(안인화력발전소에서 동래가는 방향에 길),매
70,2021-03-24 09:07,"롯데주류~내곡한라아파트,",고양이
71,2021-03-24 18:01,포남 LH 아파트 비둘기 한마리가 차에 부딪혀 있음,비둘기
72,2021-03-25 10:18,안인삼거리에서 강릉시청 방향 오른쪽 주유소 있는데 중앙분리대 로드킬 신고 문의,불명
73,2021-03-29 11:24,[로드킬]라카이~센드파인 가는도로에  동물사체 ,불명
74,2021-03-30 08:54,[로드킬]경포인공폭포 다리 건너 경포산장 들어가는 초입 사천가는 방향 도로  가건물 앞 인도,강아지
75,2021-03-30 12:31,동물사체- 법원에서 뒷골목,불명
76,2021-03-31 08:24,솔올지구 사거리 기아자동차 매장앞쪽 로드킬,고양이
77,2021-03-31 08:43,치대가는 사거리 기아자동차매장 앞 고양이사체 신고 ,고양이
78,2021-04-01 17:02,멧돼지가 걸려 있다고 진고개로 퇴곡1리 다리건너,멧돼지
79,2021-04-02 08:34,교1동 원대로 143번길 16 ,고라니
80,2021-04-02 15:55,노암한라1 101동 뒤에 도로 사체있음,고양이
81,2021-04-05 08:24,[로드킬]노가니길 강남의원 앞 고양이 로드킬,고양이
82,2021-04-05 08:40,주택가 원약국 앞 고양이 로드킬,고양이
83,2021-04-05 09:04,야생로드킬 사체가 있다고 하심(난설헌로 144번길 갤러리밥스 식당 바로 뒷편에 로드킬 사체가 있다고 하심 ,불명
84,2021-04-05 12:34,로드킬 - 고양이 사체  어제본거임 인도에 있었음. 미니스톱 강릉 씨에스타점  ( 경포호-> 초당동 ) 초당 순두부 가는길쪽에 툇마루 카페쪽 버스정류장 근처,고양이
85,2021-04-06 17:15,로드킬신고 - 담쟁이인테리어 (임영로 225)맞은편 인도에 고양이인지 강아지인지 오래된 사체있음,고양이or 강아지
86,2021-04-07 08:53,"7번국도 강릉방향 연곡면내려가는길 조금지나서 있음. , 고양이사체",고양이
87,2021-04-07 09:01,강릉방향 연곡지점 ,고양이
88,2021-04-09 14:00,종합경기장 - 경포 가는 방향 로타리에서 운정교 삼거리 중간지점 로드킬 신고 문의,불명
89,2021-04-09 14:08,"경포-> 올림픽 파크 들어가는 도로, 고라니 사체",고라니
90,2021-04-12 10:03,고라니 로드킬 -> 성덕로 336(금호어울림) 동보상가 바로 앞 도로 고라니 로드킬 (남항진 가는길),고라니
91,2021-04-12 10:15,성덕로2321 금호어울림 아파트  공사하는 뒷길( 남항진쪽으로 )고라니 사체 죽어있음.  ,고라니
92,2021-04-13 09:42,대동강 주유소 맞은편 강아지 로드킬(아직 살아 있다고 하심),강아지
93,2021-04-14 14:56,"국민콜 -> 다친 고라니 있어서 전화를 주셨다고 하심 (아이스아레나에서 경포, 강문 방향으로 가는길)",고라니
94,2021-04-15 12:36,[로드킬]강남동 수원왕갈비 앞 고양이 사체,고양이
95,2021-04-15 13:02,"고라니 철조망같은데 끼어서  구조요청, 사천",고라니
96,2021-04-19 08:59,"시내 ~강동면사무소 가기 100m지점,고양이사체",고양이
97,2021-04-22 18:24,"노암동 병무청 맞은편 사거리에서 횡단보도 두개중 더샵쪽에 있는 횡단보도,",고양이
98,2021-04-23 17:14,고양이 로드킬 신고 전화를 주심 - 회산동 서희아파트 입구 ,고양이
99,2021-04-27 08:39,[로드킬]박월마을 수영장~남강릉 IC 방향으로 100미터 2차선 고라니사체,고라니
100,2021-04-27 18:08,"길고양이가 길에 치어서 어미는 죽었고 새끼만 살아있음.  홍가네 닭칼국수 근처,",길고양이
101,2021-04-28 17:25,"창해로85-17, 주택뒷쪽 ",고양이
102,2021-04-29 13:06,더샵아파트 앞 로타리 가기전 주유소 바로 앞 도로변 ,강아지
103,2021-04-29 17:14,동물사체 처리 -새가 죽어있음. 교동택지 동대문엽기떡복이 바로 앞에 쓰레기통 부근에 잇음,새
104,2021-04-30 08:38,"[로드킬]콩이네하우스~금강부동산 , 고라니사체",고라니
105,2021-04-30 08:39,"박월동 수영장 들어가는 마을에서 ~ 남강릉 ic. 학마을가는 방향 중간지점,",고라니
106,2021-04-30 14:18,"로드킬 - 고라니 , 7번 국도 동해 2터널 옥계쪽으로 갓길",고라니
107,2021-05-03 18:25,"로드킬신고, 노인복지센터(홍제동)~ 영동대학방향. 고양사체신고",고양이
108,2021-05-04 09:56,[로드킬] 구정울박물관~강원예고가는 방향 50ㄴ미터 까만색 커다란 동물,불명 (까만색 커다란 동물)
109,2021-05-04 10:31,경포오거리(오죽헌방향 건너목초입에 고라니 사체있음),고라니
110,2021-05-04 10:45,[로드킬]경포사거리 건너편 주문진방향으로 오른쪽횡단보도 가운데 고라니 사체 ,고라니
111,2021-05-04 10:51,야생동물 신고 -  고라니 사체  ( 경포교차로) ,고라니
112,2021-05-04 10:58,경포대 사거리 고라니 로드킬 문의,고라니
113,2021-05-04 11:03,경포사거리입구_주문진뱡향 횡단보도 고라니 ,고라니
114,2021-05-06 12:28,오리나루1길  7-5 . 집 하수구 쪽 고양이 사체,고양이
115,2021-05-07 14:18,"고라니 사체 - 도롯가에 치어 밭 옆, 사천면 아침바다 앞에 도로가 옆에 작은 감자밭이 있고, 밭 앞에 파란망이 있고 절 들어가는 입구 비석 옆에 그물인데 쌓여죽어있음.  죽은 2~3일 된거같음",고라니
116,2021-05-10 08:31,금강부동산~콩이네하우스 가는길에 철도길밑 고라니사체 ,고라니
117,2021-05-10 08:31,로드킬 -> 강릉수영장 가는 남강릉 ic 가는 방향 고라니 로트킬 ,고라니
118,2021-05-10 08:36,로드킬 신고 -> 강릉시청에서 택시 넘어가는 방향 고양이 로드킬 ,고양이
119,2021-05-10 08:53,시청~7번국도 올라가자마자 우측에 고양이사체,고양이
120,2021-05-11 08:32,자이현장 건너편 동해방면 150미터 지점 고양이 사체,고양이
121,2021-05-12 11:21,보헤미안커피숍 ~강문방향으로 고라니 사체있음,고라니
122,2021-05-13 08:36,로드킬 -> 남강릉 ic 에서 강릉수영장 사거리 부근 중앙선 고양이 로드킬 ,고양이
123,2021-05-13 08:39,"남강릉ic~시내방향, 금강부동산 부근 신호단속카메라 있는곳에 개인지 고양이인지 사체있다고 문의",강아지or고양이
124,2021-05-13 08:55,로드킬 -> 송정한신더휴 정문  들어가는  입구 조금 지나서 도로변 고양이 로드킬 ,고양이
125,2021-05-13 13:52,"까치새끼가 둥지에서 떨어져 어미가 지나가는 행인들을 쪼고 있다고함..한국투자증권 옥천오거리, 홈플러스 건너편",새끼까치
126,2021-05-14 09:02,로드킬 -> 주문진에서 현덕사 빠지는 길 가기전 고라니 로드킬 ,고라니
127,2021-05-14 17:02,내곡동 남부로 18번길 92-2  다친새 구조요청 ,새
128,2021-05-17 11:30,[로드킬]연곡면 영진길 영진입구 버스정류장 백미터털어진 인도 숲덤블에 강아지 사체,강아지
129,2021-05-17 11:37,고라니 사체 신고- 운산길115-4 운산철물농자재,고라니
130,2021-05-18 13:01,고양이 로드킬 신고(연곡면 유동리에서 퇴곡1리사이 도로),고양이
131,2021-05-18 13:05,"심곡항,바다향기가(상호)철새가 다쳤다고 문의",철새
132,2021-05-18 13:18,[로드킬]고양이 로드킬 신고(연곡면 유동리에서 퇴곡1리사이 도로) 건 외 바로 위 강변식당 도로에 새한마리가 로드킬당함,새
133,2021-05-18 14:41,"아산병원 사거리 방향,  과학단지 빠지는길 조금 못가서 동물사체 있다고 함.",불명
134,2021-05-24 17:54,"고양이사체신고(초당분수공원 회전교차로 송정, 안목방향에 고양이 사체)",고양이
135,2021-05-26 10:44,뒷집에 고양이사체 처리요청.,고양이
136,2021-05-26 14:24,과학산업단지에서 유천택지 방향의 사임당로 첫번째 터널 주변 1차선에 고양이사체있음,고양이
137,2021-05-26 14:35,사임당로에서 사천가는 방향 무인텔 바로 앞 로드킬 ,불명
138,2021-05-26 17:53,도로에 로드킬 당한 고양이 - 양양휴휴암-> 강릉 . 미노고가교  1차선,고양이
139,2021-05-27 08:34,모루도서관 입구 횡단보도 고양이 사체 ,고양이
140,2021-05-28 14:50,"도로에 동물사체. 칠성로 남강릉 ic~법왕사 가는도로, 고양이사체/",고양이사체
141,2021-05-28 16:52,"110, 고양이 사체 - 홍제로 7-9 주변 현대모비스앞에 검은색 고양이 사체 있음",고양이
142,2021-06-01 09:00,[로드킬]고라니 사체-영진리 삼호그린아파트앞 도로가,고라니
143,2021-06-02 08:47,"고라니사체, 강릉~주문진 영진주유소 앞",고라니
144,2021-06-03 15:48,"고라니 사체,기산아파트~구정프라자약국(본터오리고기 가기전)주유소 근처 ",고라니
145,2021-06-03 16:01,"고라니 사체,기산아파트~구정프라자약국(본터오리고기 가기전)주유소 근처 ",고라니
146,2021-06-03 16:15,로드킬 구정프라자 약국 가는길-고라니사체,고라니
147,2021-06-04 10:09,날개다친새 도움요청강릉대로 266 kcc페인트가게 앞,새
148,2021-06-04 15:19,"경북수도(강릉시 원대로42) 앞, 도로중앙에 개로드킬신고",강아지
149,2021-06-04 15:29,관동중학교 바로 앞 원대로 주유소 근처 도로 로드킬 신고 문의,불명
150,2021-06-04 15:51,"터미널에서 택지넘어가는 우체국집중국말고,하이마트쪽 도로변 큰개가 죽어있음",큰 개
151,2021-06-07 13:34,동물 사체 - 강중앞에 도로변에 고양이 사체  강릉중학교-> 시내방향 도로에 고양이 사체 ,고양이
152,2021-06-08 16:18,교동 주유소 버스 정류장 바로 앞 고양이 로드킬 신고 문의,고양이
153,2021-06-09 10:08,[로드킬] 주문진읍 거문동길 방앗간 앞 도로에 고라니 사체,고라니
154,2021-06-11 13:27,임당동 가게 앞쪽 길가에 죽은고양이가 있음,고양이
155,2021-06-11 14:37,동물 사체- 남강릉 IC 나와서 박월동쪽으로 오다가 큰사거리 지나서  커브길   고라니 사체,고라니
156,2021-06-15 12:28,[로드킬]즈므마을~경포 가는 새로난 도로 (위에는 고가있는)가다보면 지에스 주유소 지나서 고라니 사체,고라니
157,2021-06-16 17:18,[로드킬]고양이 로드킬건 관련 담당자 연결/ 농수산물시장 가기전 공사구간도로 (시내쪽으로 나오는 도로) 주유소옆 도로가에 고양이 로드킬,고양이
158,2021-06-16 17:25,"강원도 콜센터- 입암동상덕포남동 78, 인도변 고양이사체 ",고양이
159,2021-06-18 08:54,옛날집추어탕 앞(노암동- 칠성로623) 버스정류장 부근 고양이사체,고양이
160,2021-06-21 08:58,7번국도 원주대 지나자마자 2차선에 사체있는데 무슨동물인지 모르겠다고 하심.,불명
161,2021-06-21 13:15,"도로 고양이 로드킬신고,입암동, 성덕초등학교 부근 대목아파트~ 갈비드림무한리필 앞 쓰레통있는곳.도로에있는사체를 쓰레기통쪽으로 옮겨놈",고양이
162,2021-06-21 14:07,[로드킬]18전투비행단~ 시내쪽으로 올라오는 다리 건너기 전 1차로와2차 주황색 고양이,고양이
163,2021-06-22 08:39,주문진 서희 아파트 도로변 투다리 앞 고양이 로드킬 신고 ,고양이
164,2021-06-22 11:12,공군비행장앞 사거리에서 시내방향. 고양이로드킬,고양이
165,2021-06-22 11:25,강동면사무소~농산물시장사거리까지 2마리 고양이 사체있다고 연락주심,고양이
166,2021-06-23 17:56,고양이 로드킬신고(사천~홍제동쪽으로 이동중이며 금강휀스 근처에있다고함),고양이
167,2021-06-24 12:34,입암로33 /1층상가주차장 고양이사체,고양이
168,2021-06-24 12:36,"로드킬 -> 입암로 33, 더샵아파트 정문 앞 이마트 편의점 옆 카페 주차장 고양이 로드킬 신고",고양이
169,2021-06-25 08:45,로드킬 ->주문진에서 강릉방향  즈므고가 지나서 gs주유소 중앙분리대 고라니 로드킬,고라니
170,2021-06-25 10:17,로드킬 -> 연곡캠핑장에서 연곡다리 전 길가에 고라니 로드킬 ,고라니
171,2021-06-25 10:32,솔향기 캠핑장에서 다리 건너가는 방향 로드킬 신고 문의,불명
