기준연월,지역명,검색량(건)
202301,강원특별자치도 강릉시 ,65556
202302,강원특별자치도 강릉시 ,64789
202303,강원특별자치도 강릉시 ,68719
202304,강원특별자치도 강릉시 ,70269
202305,강원특별자치도 강릉시 ,78430
202306,강원특별자치도 강릉시 ,88410
202307,강원특별자치도 강릉시 ,90145
202308,강원특별자치도 강릉시 ,109774
202309,강원특별자치도 강릉시 ,84259
202310,강원특별자치도 강릉시 ,81526
202311,강원특별자치도 강릉시 ,70699
202312,강원특별자치도 강릉시 ,80162
